t,ax,ay,az,gx,gy,gz,temp
1,0.06456,0.054996,9.872907,0.004257,-0.006385,-0.00745,26.625
2,0.019129,-0.014347,9.913556,0.005321,-0.00745,0.002128,26.6875
3,0.014347,0.016738,9.894427,0.003193,0,0.00745,26.3125
4,0.007173,-0.007173,9.865733,0.005321,0,0.005321,26.4375
5,0.004782,0.02152,9.860951,0.002128,0.002128,0,26.3125
6,0.02152,0.026302,9.85856,0.001064,-0.004257,0.002128,26.4375
7,0.004782,0.033476,9.834649,0.004257,-0.004257,-0.004257,26.4375
8,0,0.02152,9.834649,0.005321,-0.005321,0,26.5
9,0.026302,0.033476,9.853778,0.003193,-0.005321,0.001064,26.5
10,0.014347,0.040649,9.937467,0.005321,-0.002128,0.001064,26.375
11,0.014347,0.040649,9.856169,0.004257,0.001064,0.003193,26.5625
12,-0.009564,0.011956,9.813129,0.008514,-0.003193,0.004257,26.5625
13,0.069342,0.019129,9.796391,-0.002128,-0.004257,0.002128,26.5
14,0.033476,0.009564,9.839431,0,-0.00745,0.001064,26.5
15,0.009564,0.014347,9.853778,0,-0.004257,0.004257,26.625
16,0.047822,0.002391,9.844213,0,-0.002128,0.006385,26.6875
17,0.028693,0.026302,9.832258,0.006385,-0.005321,0,26.375
18,0.047822,-0.007173,9.839431,0.003193,0,0.00745,26.625
19,0.047822,-0.023911,9.887253,0.004257,-0.002128,-0.005321,26.375
20,0.009564,0.014347,9.868125,0.004257,-0.004257,-0.001064,26.5625
21,0.054996,0.023911,9.899209,0.005321,-0.001064,0.003193,26.625
22,0.033476,0.028693,9.884862,0.002128,-0.008514,0.002128,26.5
23,0.06456,0.009564,9.872907,-0.005321,-0.001064,0.005321,26.625
24,-0.023911,0.011956,9.947031,0.005321,-0.002128,-0.003193,26.4375
25,0.059778,0.023911,9.846604,0.003193,0.001064,0,26.625
26,0.028693,0.019129,9.939858,0.003193,-0.006385,0,26.6875
27,-0.038258,0.028693,9.899209,0.004257,-0.005321,-0.001064,26.5
28,-0.007173,0.033476,9.894427,0.003193,0,0,26.625
29,0.011956,0.031084,9.877689,0.006385,-0.003193,-0.003193,26.5
30,-0.028693,0.031084,9.930293,0.006385,0.001064,0.002128,26.5
31,0.007173,0.007173,9.877689,0.004257,0,0.002128,26.625
32,0.02152,0.057387,9.896818,0.003193,-0.003193,0.003193,26.5625
33,0.002391,0.028693,9.884862,0.004257,-0.001064,0.004257,26.375
34,0.028693,0.04304,9.789218,0,-0.001064,0.004257,26.4375
35,0.02152,0.031084,9.81552,0,-0.002128,0.006385,26.5
36,0.050213,0.004782,9.81552,0,0.001064,0.001064,26.5
37,0.081298,0.016738,9.860951,-0.001064,-0.004257,0.003193,26.6875
38,0.04304,0.002391,9.920729,0.003193,-0.005321,0.003193,26.4375
39,0.074125,0.023911,9.892036,0.004257,-0.005321,0.001064,26.625
40,0.038258,0.002391,9.882471,0.009578,-0.001064,-0.002128,26.75
41,0.035867,0.035867,9.853778,-0.001064,-0.003193,0.004257,26.6875
42,0.071733,0.038258,9.915947,0.010642,0.001064,0.003193,26.625
43,0.035867,0.007173,9.94464,0.002128,-0.002128,0.003193,26.4375
44,0.014347,-0.007173,9.870516,0.004257,0,0.002128,26.4375
45,0.038258,0.009564,9.844213,-0.003193,-0.003193,0.003193,26.375
46,0.011956,0.007173,9.832258,0.004257,0.002128,-0.002128,26.5
47,0.016738,0.040649,9.829867,0.005321,-0.002128,-0.004257,26.5
48,0.009564,0.028693,9.784436,0.006385,-0.001064,-0.006385,26.3125
49,0.040649,0.06456,9.796391,0.003193,-0.002128,0,26.8125
50,0.045431,-0.002391,9.863342,0.004257,-0.001064,0.004257,26.375
51,0.02152,0.023911,9.851387,0.001064,-0.00745,0.005321,26.4375
52,0.054996,0.052604,9.865733,0.00745,0.001064,0.004257,26.6875
53,0.050213,0.009564,9.894427,0.006385,-0.008514,-0.004257,26.6875
54,0.066951,0.076516,9.808347,0.001064,0.001064,-0.003193,26.375
55,0.105209,-0.009564,9.85856,0.006385,-0.003193,0.005321,26.5625
56,0.08608,-0.007173,9.868125,0.003193,-0.003193,0.001064,26.6875
57,0.016738,-0.014347,9.856169,0.012771,-0.005321,0.004257,26.4375
58,0.014347,0.002391,9.827476,0.006385,-0.002128,0.00745,26.6875
59,0.038258,0.014347,9.863342,0.005321,-0.00745,-0.001064,26.3125
60,0.040649,0.038258,9.903991,0.003193,-0.002128,0.001064,26.5625
61,0.007173,0.078907,9.827476,0.00745,-0.002128,-0.001064,26.4375
62,0.002391,0.031084,9.877689,0.00745,-0.004257,0.00745,26.625
63,-0.023911,0.052604,9.887253,-0.002128,-0.00745,0.003193,26.5
64,-0.011956,-0.011956,9.908773,0,-0.002128,-0.004257,26.375
65,0.02152,0.023911,9.884862,0.002128,-0.003193,0.009578,26.4375
66,0.011956,0.033476,9.829867,0.00745,0.002128,-0.001064,26.5625
67,-0.02152,-0.011956,9.829867,0.00745,-0.002128,-0.001064,26.4375
68,0.002391,0.054996,9.817911,0.002128,-0.005321,0.003193,26.4375
69,0.050213,-0.016738,9.848996,0.002128,-0.002128,0.003193,26.5625
70,0.057387,-0.011956,9.801173,0.00745,-0.005321,0.001064,26.625
71,0.121947,0,9.746178,0.005321,0.001064,-0.002128,26.4375
72,0.052604,0.050213,9.911165,0.00745,-0.004257,0.001064,26.625
73,0.031084,0.002391,9.841822,0.004257,0.001064,0.002128,26.3125
74,0.002391,0.047822,9.868125,0.002128,-0.005321,-0.002128,26.5
75,0.028693,-0.002391,9.872907,0.010642,-0.001064,-0.004257,26.5
76,0.009564,0.028693,9.899209,0.004257,0,-0.002128,26.6875
77,0.016738,0.059778,9.841822,0.004257,-0.001064,0,26.5625
78,0.004782,0.045431,9.937467,-0.004257,-0.004257,0.002128,26.6875
79,-0.031084,0.011956,9.789218,0.001064,-0.001064,0,26.3125
80,0.019129,0.002391,9.853778,0.005321,-0.003193,0.002128,26.5
81,-0.023911,0.035867,9.841822,0.002128,0.001064,-0.004257,26.375
82,0.06456,0.023911,9.85856,0.005321,-0.003193,0.005321,26.625
83,0.071733,-0.014347,9.832258,0.003193,-0.003193,0,26.375
84,0.06456,0.052604,9.848996,0.005321,-0.001064,-0.003193,26.6875
85,0.04304,0.009564,9.911165,0.005321,0,0.005321,26.5
86,0.052604,0,9.841822,0.00745,-0.002128,0.003193,26.5
87,0.088471,0.054996,9.932685,0.006385,0.002128,-0.004257,26.6875
88,-0.004782,0.009564,9.860951,0.005321,0.001064,-0.002128,26.375
89,0.031084,0.014347,9.92312,0.00745,-0.004257,0.004257,26.5
90,-0.031084,0.045431,9.9016,0.001064,-0.002128,0,26.625
91,0.02152,0.028693,9.868125,0.00745,-0.001064,0.002128,26.6875
92,-0.002391,0.02152,9.872907,0.006385,-0.008514,0.004257,26.6875
93,-0.014347,0.031084,9.81552,0,0.004257,0.001064,26.5
94,0.038258,0.016738,9.786827,0,0.002128,0.006385,26.375
95,0.028693,0.026302,9.784436,0.002128,0,0.003193,26.5
96,0.081298,-0.011956,9.875298,0.008514,-0.009578,-0.003193,26.5
97,0.081298,0.011956,9.839431,0.005321,-0.002128,0.002128,26.3125
98,0.119556,0.002391,9.882471,0.009578,-0.006385,0.006385,26.625
99,0.045431,0.026302,9.825084,0.006385,0.002128,0.008514,26.6875
100,0.054996,-0.02152,9.882471,0.005321,-0.003193,0.003193,26.625
101,0.040649,-0.02152,9.925511,0.004257,-0.002128,0.005321,26.5625
102,0.047822,0,9.887253,0.006385,0,-0.004257,26.3125
103,-0.002391,0.066951,9.877689,0.00745,0.001064,-0.003193,26.3125
104,0.011956,0.059778,9.839431,0.001064,-0.003193,0.001064,26.625
105,0.011956,0.06456,9.889645,0.003193,-0.004257,0,26.5625
106,0.016738,0.031084,9.896818,0.001064,0.002128,0.004257,26.4375
107,0.045431,0.002391,9.83704,0.003193,-0.00745,-0.005321,26.5
108,0.026302,0.019129,9.896818,0.005321,-0.001064,0.001064,26.5625
109,0.009564,0.016738,9.805956,0.005321,-0.004257,0.005321,26.625
110,0.023911,-0.038258,9.841822,-0.001064,0.001064,0,26.6875
111,0.033476,0.014347,9.827476,0.001064,-0.003193,0.004257,26.5
112,0.054996,0.009564,9.844213,0.006385,-0.002128,-0.003193,26.3125
113,0.06456,0.045431,9.856169,0.009578,-0.001064,0.002128,26.5
114,0.054996,0.035867,9.851387,0.005321,0.002128,0.003193,26.6875
