t,ax,ay,az,gx,gy,gz,temp
0.001,0.06456,0.054996,9.872907,0.004257,-0.006385,-0.00745,26.625
0.002,0.019129,-0.014347,9.913556,0.005321,-0.00745,0.002128,26.6875
0.003,0.014347,0.016738,9.894427,0.003193,0,0.00745,26.3125
0.004,0.007173,-0.007173,9.865733,0.005321,0,0.005321,26.4375
0.005,0.004782,0.02152,9.860951,0.002128,0.002128,0,26.3125
0.006,0.02152,0.026302,9.85856,0.001064,-0.004257,0.002128,26.4375
0.007,0.004782,0.033476,9.834649,0.004257,-0.004257,-0.004257,26.4375
0.008,0,0.02152,9.834649,0.005321,-0.005321,0,26.5
0.009,0.026302,0.033476,9.853778,0.003193,-0.005321,0.001064,26.5
0.01,0.014347,0.040649,9.937467,0.005321,-0.002128,0.001064,26.375
0.011,0.014347,0.040649,9.856169,0.004257,0.001064,0.003193,26.5625
0.012,-0.009564,0.011956,9.813129,0.008514,-0.003193,0.004257,26.5625
0.013,0.069342,0.019129,9.796391,-0.002128,-0.004257,0.002128,26.5
0.014,0.033476,0.009564,9.839431,0,-0.00745,0.001064,26.5
0.015,0.009564,0.014347,9.853778,0,-0.004257,0.004257,26.625
0.016,0.047822,0.002391,9.844213,0,-0.002128,0.006385,26.6875
0.017,0.028693,0.026302,9.832258,0.006385,-0.005321,0,26.375
0.018,0.047822,-0.007173,9.839431,0.003193,0,0.00745,26.625
0.019,0.047822,-0.023911,9.887253,0.004257,-0.002128,-0.005321,26.375
0.02,0.009564,0.014347,9.868125,0.004257,-0.004257,-0.001064,26.5625
0.021,0.054996,0.023911,9.899209,0.005321,-0.001064,0.003193,26.625
0.022,0.033476,0.028693,9.884862,0.002128,-0.008514,0.002128,26.5
0.023,0.06456,0.009564,9.872907,-0.005321,-0.001064,0.005321,26.625
0.024,-0.023911,0.011956,9.947031,0.005321,-0.002128,-0.003193,26.4375
0.025,0.059778,0.023911,9.846604,0.003193,0.001064,0,26.625
0.026,0.028693,0.019129,9.939858,0.003193,-0.006385,0,26.6875
0.027,-0.038258,0.028693,9.899209,0.004257,-0.005321,-0.001064,26.5
0.028,-0.007173,0.033476,9.894427,0.003193,0,0,26.625
0.029,0.011956,0.031084,9.877689,0.006385,-0.003193,-0.003193,26.5
0.03,-0.028693,0.031084,9.930293,0.006385,0.001064,0.002128,26.5
0.031,0.007173,0.007173,9.877689,0.004257,0,0.002128,26.625
0.032,0.02152,0.057387,9.896818,0.003193,-0.003193,0.003193,26.5625
0.033,0.002391,0.028693,9.884862,0.004257,-0.001064,0.004257,26.375
0.034,0.028693,0.04304,9.789218,0,-0.001064,0.004257,26.4375
0.035,0.02152,0.031084,9.81552,0,-0.002128,0.006385,26.5
0.036,0.050213,0.004782,9.81552,0,0.001064,0.001064,26.5
0.037,0.081298,0.016738,9.860951,-0.001064,-0.004257,0.003193,26.6875
0.038,0.04304,0.002391,9.920729,0.003193,-0.005321,0.003193,26.4375
0.039,0.074125,0.023911,9.892036,0.004257,-0.005321,0.001064,26.625
0.04,0.038258,0.002391,9.882471,0.009578,-0.001064,-0.002128,26.75
0.041,0.035867,0.035867,9.853778,-0.001064,-0.003193,0.004257,26.6875
0.042,0.071733,0.038258,9.915947,0.010642,0.001064,0.003193,26.625
0.043,0.035867,0.007173,9.94464,0.002128,-0.002128,0.003193,26.4375
0.044,0.014347,-0.007173,9.870516,0.004257,0,0.002128,26.4375
0.045,0.038258,0.009564,9.844213,-0.003193,-0.003193,0.003193,26.375
